<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:28:27.790
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	0.6330
Velocity, mm/s:	1.2660
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
0.000000	-5.574100	0.000000	6.258301
0.010000	-5.574100	0.000000	6.258301
0.020000	-5.574100	0.000000	6.258301
0.030000	-5.574100	0.000000	6.258301
0.040000	-5.574100	0.000000	6.258301
0.050000	-5.574100	0.000000	6.739709
0.060000	-5.574100	0.000000	6.739709
0.070000	-5.574100	0.000000	6.739709
0.080000	-5.574100	0.000000	6.739709
0.090000	-5.574100	0.000000	6.258301
0.100000	-5.574100	0.000000	6.258301
0.110000	-5.574100	0.000000	6.258301
0.120000	-5.574100	0.000000	6.258301
0.130000	-5.574100	0.000000	6.258301
0.140000	-5.574100	0.000000	6.258301
0.150000	-5.574100	0.000000	6.258301
0.160000	-5.574100	0.000000	6.258301
0.170000	-5.574100	0.000000	6.258301
0.180000	-5.574100	0.000000	6.258301
0.190000	-5.574100	0.000000	6.739709
0.200000	-5.574100	0.000000	6.739709
0.210000	-5.574100	0.000000	6.258301
0.220000	-5.574100	0.000000	6.258301
0.230000	-5.574100	0.000000	6.258301
0.240000	-5.574100	0.000000	6.258301
0.250000	-5.574100	0.000000	6.258301
0.260000	-5.574100	0.000000	6.258301
0.270000	-5.574100	0.000000	6.258301
0.280000	-5.573100	0.000000	6.739709
0.290000	-5.566300	0.000000	6.739709
0.300000	-5.557200	0.000000	7.702524
0.310000	-5.548600	0.000000	9.146748
0.320000	-5.534400	0.000000	12.035194
