<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:43:35.090
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	1.2660
Velocity, mm/s:	1.2660
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
0.000000	-5.492700	0.000000	5.295485
0.010000	-5.492700	0.000000	5.295485
0.020000	-5.492700	0.000000	5.295485
0.030000	-5.492700	0.000000	5.295485
0.040000	-5.492700	0.000000	5.295485
0.050000	-5.492700	0.000000	5.295485
0.060000	-5.492700	0.000000	5.295485
0.070000	-5.492700	0.000000	5.295485
0.080000	-5.492700	0.000000	5.295485
0.090000	-5.492700	0.000000	5.295485
0.100000	-5.492700	0.000000	5.295485
0.110000	-5.492700	0.000000	5.295485
0.120000	-5.492700	0.000000	5.295485
0.130000	-5.492700	0.000000	5.295485
0.140000	-5.492700	0.000000	5.295485
0.150000	-5.492700	0.000000	5.295485
0.160000	-5.492700	0.000000	5.295485
0.170000	-5.492700	0.000000	5.295485
0.180000	-5.492700	0.000000	5.295485
0.190000	-5.492700	0.000000	5.776893
0.200000	-5.492700	0.000000	5.776893
0.210000	-5.492700	0.000000	5.295485
0.220000	-5.492700	0.000000	5.295485
0.230000	-5.492700	0.000000	5.295485
0.240000	-5.492700	0.000000	5.295485
0.250000	-5.492700	0.000000	5.295485
0.260000	-5.492600	0.000000	5.295485
0.270000	-5.486600	0.000000	5.776893
0.280000	-5.473700	0.000000	5.776893
0.290000	-5.465000	0.000000	5.776893
0.300000	-5.451800	0.000000	5.776893
0.310000	-5.436400	0.000000	5.776893
0.320000	-5.427000	0.000000	5.776893
0.330000	-5.412100	0.000000	5.776893
0.340000	-5.399900	0.000000	6.258301
0.350000	-5.388400	0.000000	6.258301
0.360000	-5.373600	0.000000	6.258301
0.370000	-5.363000	0.000000	6.258301
0.380000	-5.349800	0.000000	6.258301
0.390000	-5.335700	0.000000	6.258301
0.400000	-5.324900	0.000000	6.258301
0.410000	-5.311000	0.000000	6.739709
0.420000	-5.298300	0.000000	6.739709
0.430000	-5.286600	0.000000	6.739709
0.440000	-5.272900	0.000000	6.739709
0.450000	-5.261100	0.000000	6.739709
0.460000	-5.248300	0.000000	7.221117
0.470000	-5.234600	0.000000	7.221117
0.480000	-5.223500	0.000000	7.221117
0.490000	-5.210200	0.000000	7.702524
0.500000	-5.196700	0.000000	7.702524
0.510000	-5.185400	0.000000	7.702524
0.520000	-5.172000	0.000000	7.702524
0.530000	-5.159100	0.000000	8.183932
0.540000	-5.147200	0.000000	8.183932
0.550000	-5.133700	0.000000	8.665340
0.560000	-5.121400	0.000000	8.665340
0.570000	-5.109300	0.000000	8.665340
0.580000	-5.095700	0.000000	9.146748
0.590000	-5.083300	0.000000	9.146748
0.600000	-5.071100	0.000000	9.628155
0.610000	-5.057700	0.000000	9.628155
0.620000	-5.045600	0.000000	10.109563
0.630000	-5.033200	0.000000	10.109563
0.640000	-5.019700	0.000000	10.109563
0.650000	-5.007500	0.000000	10.590971
