<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:21:51.090
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	0.6330
Velocity, mm/s:	0.0063
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
0.000000	-6.136500	0.000000	-0.481408
0.010000	-6.136500	0.000000	-0.481408
0.020000	-6.136500	0.000000	-0.481408
0.030000	-6.136500	0.000000	-0.481408
0.040000	-6.136500	0.000000	-0.481408
0.050000	-6.136500	0.000000	0.000000
0.060000	-6.136500	0.000000	-0.481408
0.070000	-6.136500	0.000000	-0.481408
0.080000	-6.136500	0.000000	-0.481408
0.090000	-6.136500	0.000000	-0.481408
0.100000	-6.136500	0.000000	-0.481408
0.110000	-6.136500	0.000000	-0.481408
0.120000	-6.136500	0.000000	-0.481408
0.130000	-6.136500	0.000000	-0.481408
0.140000	-6.136500	0.000000	0.000000
0.150000	-6.136500	0.000000	0.000000
0.160000	-6.136500	0.000000	0.000000
0.170000	-6.136500	0.000000	-0.481408
0.180000	-6.136500	0.000000	-0.481408
0.190000	-6.136500	0.000000	-0.481408
0.200000	-6.136500	0.000000	-0.481408
0.210000	-6.136500	0.000000	-0.481408
0.220000	-6.136500	0.000000	-0.481408
0.230000	-6.136500	0.000000	-0.481408
0.240000	-6.136500	0.000000	-0.481408
0.250000	-6.136500	0.000000	-0.481408
0.260000	-6.136500	0.000000	-0.481408
0.270000	-6.136500	0.000000	-0.481408
0.280000	-6.136500	0.000000	-0.481408
0.290000	-6.136500	0.000000	-0.481408
0.300000	-6.136500	0.000000	-0.481408
0.310000	-6.136500	0.000000	-0.481408
0.320000	-6.136500	0.000000	-0.481408
0.330000	-6.136500	0.000000	-0.481408
0.340000	-6.136500	0.000000	-0.481408
0.350000	-6.136500	0.000000	-0.481408
0.360000	-6.136500	0.000000	-0.481408
0.370000	-6.136500	0.000000	-0.481408
0.380000	-6.136500	0.000000	-0.481408
0.390000	-6.136500	0.000000	-0.481408
0.400000	-6.136500	0.000000	-0.481408
0.410000	-6.136500	0.000000	-0.481408
0.420000	-6.136500	0.000000	-0.481408
0.430000	-6.136500	0.000000	-0.481408
0.440000	-6.136400	0.000000	-0.481408
0.450000	-6.136200	0.000000	-0.481408
0.460000	-6.135700	0.000000	-0.481408
0.470000	-6.135400	0.000000	-0.481408
0.480000	-6.135200	0.000000	-0.481408
0.490000	-6.135100	0.000000	-0.481408
0.500000	-6.135000	0.000000	-0.481408
0.510000	-6.134900	0.000000	-0.481408
0.520000	-6.134900	0.000000	0.000000
0.530000	-6.134900	0.000000	0.000000
0.540000	-6.134800	0.000000	0.000000
0.550000	-6.134800	0.000000	0.000000
0.560000	-6.134700	0.000000	-0.481408
0.570000	-6.134700	0.000000	-0.481408
0.580000	-6.134600	0.000000	-0.481408
0.590000	-6.134600	0.000000	0.000000
0.600000	-6.134500	0.000000	0.000000
0.610000	-6.134500	0.000000	0.000000
0.620000	-6.134400	0.000000	0.000000
0.630000	-6.134400	0.000000	0.000000
0.640000	-6.134300	0.000000	0.000000
0.650000	-6.134200	0.000000	0.000000
0.660000	-6.134100	0.000000	0.000000
0.670000	-6.134100	0.000000	0.000000
0.680000	-6.134000	0.000000	0.000000
0.690000	-6.133900	0.000000	0.000000
0.700000	-6.133900	0.000000	0.000000
0.710000	-6.133800	0.000000	0.000000
0.720000	-6.133700	0.000000	0.000000
0.730000	-6.133700	0.000000	0.000000
0.740000	-6.133600	0.000000	0.000000
0.750000	-6.133600	0.000000	0.000000
0.760000	-6.133500	0.000000	0.000000
0.770000	-6.133400	0.000000	0.000000
0.780000	-6.133400	0.000000	0.000000
0.790000	-6.133300	0.000000	0.000000
0.800000	-6.133200	0.000000	0.000000
0.810000	-6.133200	0.000000	0.000000
0.820000	-6.133100	0.000000	0.000000
0.830000	-6.133000	0.000000	0.000000
