<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:32:03.190
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	1.2660
Velocity, mm/s:	0.0063
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
1.140000	-5.123200	0.000000	18.774903
1.150000	-5.123100	0.000000	18.774903
1.160000	-5.123000	0.000000	19.256311
1.170000	-5.123000	0.000000	19.256311
1.180000	-5.122900	0.000000	19.256311
1.190000	-5.122800	0.000000	19.256311
1.200000	-5.122800	0.000000	19.256311
1.210000	-5.122700	0.000000	19.256311
1.220000	-5.122600	0.000000	19.256311
1.230000	-5.122500	0.000000	19.256311
1.240000	-5.122500	0.000000	19.256311
1.250000	-5.122400	0.000000	19.256311
1.260000	-5.122400	0.000000	19.256311
1.270000	-5.122300	0.000000	19.256311
1.280000	-5.122200	0.000000	19.256311
1.290000	-5.122200	0.000000	19.256311
1.300000	-5.122100	0.000000	19.737718
1.310000	-5.122100	0.000000	19.737718
1.320000	-5.122000	0.000000	19.737718
1.330000	-5.122000	0.000000	19.737718
1.340000	-5.121900	0.000000	19.737718
1.350000	-5.121900	0.000000	19.737718
1.360000	-5.121800	0.000000	19.737718
1.370000	-5.121700	0.000000	19.737718
1.380000	-5.121600	0.000000	19.737718
1.390000	-5.121600	0.000000	19.737718
1.400000	-5.121500	0.000000	19.737718
1.410000	-5.121400	0.000000	19.256311
1.420000	-5.121400	0.000000	19.737718
1.430000	-5.121300	0.000000	19.737718
1.440000	-5.121300	0.000000	19.737718
1.450000	-5.121200	0.000000	19.737718
1.460000	-5.121100	0.000000	19.737718
1.470000	-5.121100	0.000000	19.737718
1.480000	-5.121000	0.000000	19.737718
1.490000	-5.120900	0.000000	19.737718
1.500000	-5.120900	0.000000	19.737718
1.510000	-5.120800	0.000000	19.737718
1.520000	-5.120800	0.000000	19.737718
1.530000	-5.120700	0.000000	19.737718
1.540000	-5.120600	0.000000	19.737718
1.550000	-5.120600	0.000000	19.737718
1.560000	-5.120500	0.000000	19.737718
1.570000	-5.120500	0.000000	19.737718
1.580000	-5.120400	0.000000	19.737718
1.590000	-5.120300	0.000000	19.737718
1.600000	-5.120300	0.000000	19.737718
1.610000	-5.120200	0.000000	19.737718
1.620000	-5.120100	0.000000	19.737718
1.630000	-5.120100	0.000000	19.737718
1.640000	-5.120000	0.000000	19.737718
1.650000	-5.119900	0.000000	19.737718
1.660000	-5.119900	0.000000	19.737718
1.670000	-5.119800	0.000000	19.737718
1.680000	-5.119700	0.000000	19.737718
1.690000	-5.119700	0.000000	19.737718
1.700000	-5.119600	0.000000	19.737718
1.710000	-5.119600	0.000000	19.737718
1.720000	-5.119500	0.000000	19.737718
1.730000	-5.119400	0.000000	19.737718
1.740000	-5.119400	0.000000	19.737718
1.750000	-5.119300	0.000000	20.219126
1.760000	-5.119300	0.000000	20.219126
1.770000	-5.119200	0.000000	20.219126
1.780000	-5.119100	0.000000	20.219126
1.790000	-5.119100	0.000000	20.219126
1.800000	-5.119000	0.000000	20.219126
1.810000	-5.119000	0.000000	20.219126
1.820000	-5.118900	0.000000	20.219126
1.830000	-5.118800	0.000000	20.219126
1.840000	-5.118800	0.000000	20.219126
1.850000	-5.118700	0.000000	20.219126
1.860000	-5.118600	0.000000	20.219126
1.870000	-5.118600	0.000000	20.219126
1.880000	-5.118500	0.000000	20.219126
1.890000	-5.118400	0.000000	20.219126
1.900000	-5.118300	0.000000	20.219126
1.910000	-5.118200	0.000000	20.219126
1.920000	-5.118200	0.000000	20.219126
1.930000	-5.118100	0.000000	20.219126
1.940000	-5.118100	0.000000	20.219126
1.950000	-5.118000	0.000000	20.219126
1.960000	-5.118000	0.000000	20.219126
1.970000	-5.117900	0.000000	20.219126
1.980000	-5.117900	0.000000	20.219126
1.990000	-5.117800	0.000000	20.219126
2.000000	-5.117800	0.000000	20.219126
2.010000	-5.117700	0.000000	20.219126
2.020000	-5.117600	0.000000	20.219126
2.030000	-5.117600	0.000000	20.700534
2.040000	-5.117500	0.000000	20.219126
2.050000	-5.117400	0.000000	20.219126
2.060000	-5.117400	0.000000	20.219126
2.070000	-5.117300	0.000000	20.700534
2.080000	-5.117200	0.000000	20.700534
2.090000	-5.117200	0.000000	20.219126
2.100000	-5.117100	0.000000	20.219126
2.110000	-5.117000	0.000000	20.700534
2.120000	-5.117000	0.000000	20.700534
2.130000	-5.116900	0.000000	20.700534
2.140000	-5.116900	0.000000	20.700534
2.150000	-5.116800	0.000000	20.700534
2.160000	-5.116700	0.000000	20.700534
2.170000	-5.116700	0.000000	20.219126
2.180000	-5.116600	0.000000	20.219126
2.190000	-5.116500	0.000000	20.700534
2.200000	-5.116500	0.000000	20.700534
2.210000	-5.116400	0.000000	20.700534
2.220000	-5.116400	0.000000	20.700534
2.230000	-5.116300	0.000000	20.700534
2.240000	-5.116200	0.000000	20.700534
2.250000	-5.116200	0.000000	20.700534
2.260000	-5.116100	0.000000	20.700534
2.270000	-5.116100	0.000000	20.700534
2.280000	-5.116000	0.000000	20.700534
2.290000	-5.115900	0.000000	20.700534
2.300000	-5.115800	0.000000	20.700534
2.310000	-5.115800	0.000000	20.700534
2.320000	-5.115700	0.000000	20.700534
2.330000	-5.115600	0.000000	20.700534
2.340000	-5.115600	0.000000	20.700534
2.350000	-5.115500	0.000000	21.181942
2.360000	-5.115400	0.000000	21.181942
2.370000	-5.115400	0.000000	21.181942
2.380000	-5.115300	0.000000	21.181942
2.390000	-5.115200	0.000000	21.181942
2.400000	-5.115100	0.000000	20.700534
2.410000	-5.115100	0.000000	20.700534
2.420000	-5.115000	0.000000	20.700534
2.430000	-5.115000	0.000000	20.700534
2.440000	-5.114900	0.000000	20.700534
2.450000	-5.114900	0.000000	21.181942
2.460000	-5.114800	0.000000	21.181942
2.470000	-5.114800	0.000000	21.181942
2.480000	-5.114700	0.000000	20.700534
2.490000	-5.114600	0.000000	20.700534
2.500000	-5.114600	0.000000	20.700534
2.510000	-5.114500	0.000000	21.181942
2.520000	-5.114500	0.000000	21.181942
2.530000	-5.114400	0.000000	21.181942
2.540000	-5.114300	0.000000	21.181942
2.550000	-5.114300	0.000000	21.181942
2.560000	-5.114200	0.000000	21.181942
2.570000	-5.114200	0.000000	21.663350
2.580000	-5.114100	0.000000	21.663350
2.590000	-5.114000	0.000000	21.181942
2.600000	-5.114000	0.000000	21.181942
2.610000	-5.113900	0.000000	21.181942
2.620000	-5.113800	0.000000	21.663350
2.630000	-5.113800	0.000000	21.663350
2.640000	-5.113700	0.000000	21.663350
2.650000	-5.113600	0.000000	21.663350
2.660000	-5.113600	0.000000	21.663350
2.670000	-5.113500	0.000000	21.663350
2.680000	-5.113400	0.000000	21.663350
2.690000	-5.113300	0.000000	21.663350
2.700000	-5.113300	0.000000	21.181942
2.710000	-5.113200	0.000000	21.663350
2.720000	-5.113200	0.000000	21.663350
2.730000	-5.113100	0.000000	21.663350
2.740000	-5.113100	0.000000	21.663350
2.750000	-5.113000	0.000000	21.663350
2.760000	-5.112900	0.000000	21.663350
2.770000	-5.112900	0.000000	21.663350
2.780000	-5.112800	0.000000	21.663350
2.790000	-5.112800	0.000000	21.663350
2.800000	-5.112700	0.000000	21.663350
2.810000	-5.112700	0.000000	21.663350
2.820000	-5.112600	0.000000	21.663350
2.830000	-5.112500	0.000000	21.663350
2.840000	-5.112400	0.000000	21.663350
2.850000	-5.112400	0.000000	21.663350
2.860000	-5.112300	0.000000	21.663350
2.870000	-5.112200	0.000000	21.663350
2.880000	-5.112200	0.000000	21.663350
2.890000	-5.112100	0.000000	21.663350
2.900000	-5.112100	0.000000	21.663350
2.910000	-5.112000	0.000000	21.663350
2.920000	-5.112000	0.000000	21.663350
2.930000	-5.111900	0.000000	21.663350
2.940000	-5.111800	0.000000	21.663350
2.950000	-5.111700	0.000000	21.663350
2.960000	-5.111700	0.000000	21.663350
2.970000	-5.111600	0.000000	21.663350
2.980000	-5.111500	0.000000	21.663350
2.990000	-5.111500	0.000000	21.663350
3.000000	-5.111400	0.000000	21.663350
3.010000	-5.111400	0.000000	21.663350
3.020000	-5.111300	0.000000	21.663350
3.030000	-5.111200	0.000000	21.663350
3.040000	-5.111200	0.000000	21.663350
3.050000	-5.111100	0.000000	21.663350
3.060000	-5.111100	0.000000	21.663350
3.070000	-5.111000	0.000000	21.663350
3.080000	-5.110900	0.000000	21.663350
3.090000	-5.110900	0.000000	22.144757
3.100000	-5.110800	0.000000	22.144757
3.110000	-5.110800	0.000000	22.144757
3.120000	-5.110700	0.000000	21.663350
3.130000	-5.110600	0.000000	21.663350
3.140000	-5.110500	0.000000	21.663350
3.150000	-5.110500	0.000000	21.663350
3.160000	-5.110400	0.000000	21.663350
3.170000	-5.110300	0.000000	22.144757
3.180000	-5.110300	0.000000	22.144757
3.190000	-5.110200	0.000000	22.144757
3.200000	-5.110100	0.000000	22.144757
3.210000	-5.110100	0.000000	22.144757
3.220000	-5.110000	0.000000	22.144757
3.230000	-5.109900	0.000000	22.144757
3.240000	-5.109900	0.000000	22.144757
3.250000	-5.109800	0.000000	22.144757
3.260000	-5.109800	0.000000	22.144757
3.270000	-5.109700	0.000000	22.144757
3.280000	-5.109700	0.000000	22.144757
3.290000	-5.109600	0.000000	22.144757
3.300000	-5.109500	0.000000	22.144757
3.310000	-5.109500	0.000000	22.144757
3.320000	-5.109400	0.000000	22.144757
3.330000	-5.109300	0.000000	22.144757
3.340000	-5.109300	0.000000	22.626165
3.350000	-5.109200	0.000000	22.626165
3.360000	-5.109100	0.000000	22.144757
3.370000	-5.109100	0.000000	22.144757
3.380000	-5.109000	0.000000	22.144757
3.390000	-5.109000	0.000000	22.144757
3.400000	-5.108900	0.000000	22.144757
3.410000	-5.108900	0.000000	22.144757
3.420000	-5.108800	0.000000	22.144757
3.430000	-5.108700	0.000000	22.144757
3.440000	-5.108700	0.000000	22.144757
3.450000	-5.108600	0.000000	22.144757
3.460000	-5.108600	0.000000	22.144757
3.470000	-5.108500	0.000000	22.144757
3.480000	-5.108400	0.000000	22.144757
3.490000	-5.108400	0.000000	22.144757
3.500000	-5.108300	0.000000	22.144757
3.510000	-5.108200	0.000000	22.626165
3.520000	-5.108200	0.000000	22.626165
3.530000	-5.108100	0.000000	22.626165
3.540000	-5.108000	0.000000	22.626165
3.550000	-5.108000	0.000000	22.626165
3.560000	-5.107900	0.000000	22.626165
3.570000	-5.107900	0.000000	22.626165
3.580000	-5.107800	0.000000	22.626165
3.590000	-5.107800	0.000000	22.626165
3.600000	-5.107700	0.000000	22.626165
3.610000	-5.107600	0.000000	22.626165
3.620000	-5.107500	0.000000	22.626165
3.630000	-5.107400	0.000000	22.626165
3.640000	-5.107400	0.000000	22.626165
3.650000	-5.107300	0.000000	23.107573
3.660000	-5.107300	0.000000	23.107573
3.670000	-5.107200	0.000000	23.107573
3.680000	-5.107100	0.000000	22.626165
3.690000	-5.107100	0.000000	22.626165
3.700000	-5.107000	0.000000	22.626165
3.710000	-5.107000	0.000000	22.626165
3.720000	-5.106900	0.000000	22.626165
3.730000	-5.106800	0.000000	22.626165
3.740000	-5.106800	0.000000	22.626165
3.750000	-5.106700	0.000000	22.626165
3.760000	-5.106600	0.000000	22.626165
3.770000	-5.106600	0.000000	23.107573
3.780000	-5.106500	0.000000	23.107573
3.790000	-5.106400	0.000000	23.107573
3.800000	-5.106400	0.000000	23.107573
3.810000	-5.106300	0.000000	23.107573
3.820000	-5.106200	0.000000	22.626165
3.830000	-5.106200	0.000000	22.626165
3.840000	-5.106100	0.000000	22.626165
3.850000	-5.106100	0.000000	22.626165
3.860000	-5.106000	0.000000	22.626165
3.870000	-5.106000	0.000000	22.626165
3.880000	-5.105900	0.000000	22.626165
3.890000	-5.105800	0.000000	23.107573
3.900000	-5.105800	0.000000	23.107573
3.910000	-5.105700	0.000000	23.107573
3.920000	-5.105600	0.000000	22.626165
3.930000	-5.105600	0.000000	22.626165
3.940000	-5.105500	0.000000	22.626165
3.950000	-5.105400	0.000000	23.107573
3.960000	-5.105300	0.000000	23.107573
3.970000	-5.105300	0.000000	23.107573
3.980000	-5.105200	0.000000	23.107573
3.990000	-5.105200	0.000000	23.107573
4.000000	-5.105100	0.000000	23.107573
4.010000	-5.105100	0.000000	23.107573
4.020000	-5.105000	0.000000	23.107573
4.030000	-5.104900	0.000000	23.107573
4.040000	-5.104900	0.000000	23.107573
4.050000	-5.104800	0.000000	23.107573
4.060000	-5.104800	0.000000	23.107573
4.070000	-5.104700	0.000000	23.107573
4.080000	-5.104700	0.000000	23.107573
4.090000	-5.104600	0.000000	23.107573
4.100000	-5.104500	0.000000	23.107573
4.110000	-5.104500	0.000000	23.107573
4.120000	-5.104400	0.000000	23.107573
4.130000	-5.104300	0.000000	23.107573
4.140000	-5.104300	0.000000	23.107573
4.150000	-5.104200	0.000000	23.107573
4.160000	-5.104100	0.000000	23.588981
4.170000	-5.104000	0.000000	23.588981
4.180000	-5.103900	0.000000	23.588981
4.190000	-5.103900	0.000000	23.107573
4.200000	-5.103800	0.000000	23.107573
4.210000	-5.103800	0.000000	23.107573
4.220000	-5.103700	0.000000	23.107573
4.230000	-5.103700	0.000000	23.588981
4.240000	-5.103600	0.000000	23.588981
4.250000	-5.103500	0.000000	23.588981
4.260000	-5.103400	0.000000	23.588981
4.270000	-5.103400	0.000000	23.588981
4.280000	-5.103300	0.000000	23.588981
4.290000	-5.103300	0.000000	23.588981
4.300000	-5.103200	0.000000	23.588981
4.310000	-5.103200	0.000000	23.588981
4.320000	-5.103100	0.000000	23.588981
4.330000	-5.103100	0.000000	23.588981
4.340000	-5.103000	0.000000	23.588981
4.350000	-5.102900	0.000000	23.588981
4.360000	-5.102900	0.000000	23.588981
4.370000	-5.102800	0.000000	23.588981
4.380000	-5.102700	0.000000	23.588981
4.390000	-5.102600	0.000000	23.588981
4.400000	-5.102600	0.000000	23.588981
4.410000	-5.102500	0.000000	23.588981
4.420000	-5.102500	0.000000	23.588981
4.430000	-5.102400	0.000000	23.588981
4.440000	-5.102400	0.000000	23.588981
4.450000	-5.102300	0.000000	23.588981
4.460000	-5.102200	0.000000	23.588981
4.470000	-5.102200	0.000000	23.588981
4.480000	-5.102100	0.000000	24.070388
4.490000	-5.102000	0.000000	24.070388
4.500000	-5.101900	0.000000	24.070388
4.510000	-5.101900	0.000000	23.588981
4.520000	-5.101800	0.000000	24.070388
4.530000	-5.101800	0.000000	24.070388
4.540000	-5.101700	0.000000	24.070388
4.550000	-5.101700	0.000000	23.588981
4.560000	-5.101600	0.000000	23.588981
4.570000	-5.101500	0.000000	24.070388
4.580000	-5.101500	0.000000	24.070388
4.590000	-5.101400	0.000000	24.070388
4.600000	-5.101400	0.000000	24.070388
4.610000	-5.101300	0.000000	24.070388
4.620000	-5.101200	0.000000	24.070388
4.630000	-5.101100	0.000000	24.070388
4.640000	-5.101100	0.000000	24.070388
4.650000	-5.101000	0.000000	24.070388
4.660000	-5.101000	0.000000	24.070388
4.670000	-5.100900	0.000000	24.070388
4.680000	-5.100900	0.000000	24.070388
4.690000	-5.100800	0.000000	24.070388
4.700000	-5.100700	0.000000	24.070388
4.710000	-5.100700	0.000000	24.070388
4.720000	-5.100600	0.000000	24.070388
4.730000	-5.100500	0.000000	24.070388
4.740000	-5.100500	0.000000	24.070388
4.750000	-5.100400	0.000000	24.070388
4.760000	-5.100400	0.000000	24.070388
4.770000	-5.100300	0.000000	24.070388
4.780000	-5.100200	0.000000	24.070388
4.790000	-5.100100	0.000000	24.551796
4.800000	-5.100100	0.000000	24.551796
4.810000	-5.100000	0.000000	24.551796
4.820000	-5.100000	0.000000	24.551796
4.830000	-5.099900	0.000000	24.070388
4.840000	-5.099800	0.000000	24.070388
4.850000	-5.099800	0.000000	24.551796
4.860000	-5.099700	0.000000	24.551796
4.870000	-5.099600	0.000000	24.551796
4.880000	-5.099600	0.000000	24.551796
4.890000	-5.099500	0.000000	24.070388
4.900000	-5.099500	0.000000	24.551796
4.910000	-5.099400	0.000000	24.551796
4.920000	-5.099300	0.000000	24.551796
4.930000	-5.099300	0.000000	24.551796
4.940000	-5.099200	0.000000	24.551796
4.950000	-5.099100	0.000000	24.551796
4.960000	-5.099100	0.000000	24.551796
4.970000	-5.099000	0.000000	24.551796
4.980000	-5.098900	0.000000	24.551796
4.990000	-5.098900	0.000000	24.551796
5.000000	-5.098800	0.000000	24.551796
5.010000	-5.098700	0.000000	24.551796
5.020000	-5.098700	0.000000	24.551796
5.030000	-5.098600	0.000000	24.551796
5.040000	-5.098500	0.000000	24.551796
5.050000	-5.098500	0.000000	24.551796
5.060000	-5.098400	0.000000	24.551796
5.070000	-5.098400	0.000000	24.551796
5.080000	-5.098300	0.000000	24.551796
5.090000	-5.098300	0.000000	24.551796
5.100000	-5.098200	0.000000	25.033204
5.110000	-5.098100	0.000000	25.033204
5.120000	-5.098100	0.000000	25.033204
5.130000	-5.098000	0.000000	25.033204
5.140000	-5.098000	0.000000	24.551796
5.150000	-5.097900	0.000000	25.033204
5.160000	-5.097900	0.000000	25.033204
5.170000	-5.097800	0.000000	25.033204
5.180000	-5.097700	0.000000	25.033204
5.190000	-5.097700	0.000000	24.551796
5.200000	-5.097600	0.000000	24.551796
5.210000	-5.097500	0.000000	25.033204
5.220000	-5.097500	0.000000	25.033204
5.230000	-5.097400	0.000000	25.033204
5.240000	-5.097300	0.000000	25.033204
5.250000	-5.097300	0.000000	25.033204
5.260000	-5.097200	0.000000	25.033204
5.270000	-5.097200	0.000000	25.033204
5.280000	-5.097100	0.000000	25.033204
5.290000	-5.097000	0.000000	25.033204
5.300000	-5.097000	0.000000	24.551796
5.310000	-5.096900	0.000000	25.033204
5.320000	-5.096800	0.000000	25.033204
5.330000	-5.096700	0.000000	25.033204
5.340000	-5.096700	0.000000	25.033204
5.350000	-5.096600	0.000000	25.033204
5.360000	-5.096500	0.000000	25.033204
5.370000	-5.096500	0.000000	25.033204
5.380000	-5.096400	0.000000	25.033204
5.390000	-5.096300	0.000000	25.033204
5.400000	-5.096300	0.000000	25.033204
5.410000	-5.096200	0.000000	25.033204
5.420000	-5.096200	0.000000	25.033204
5.430000	-5.096100	0.000000	25.033204
5.440000	-5.096100	0.000000	25.033204
5.450000	-5.096000	0.000000	25.033204
5.460000	-5.096000	0.000000	25.033204
5.470000	-5.095900	0.000000	25.033204
5.480000	-5.095800	0.000000	25.033204
5.490000	-5.095800	0.000000	25.514612
5.500000	-5.095700	0.000000	25.514612
5.510000	-5.095600	0.000000	25.514612
5.520000	-5.095500	0.000000	25.033204
5.530000	-5.095500	0.000000	25.033204
5.540000	-5.095400	0.000000	25.033204
5.550000	-5.095400	0.000000	25.033204
5.560000	-5.095300	0.000000	25.033204
5.570000	-5.095200	0.000000	25.514612
5.580000	-5.095200	0.000000	25.514612
5.590000	-5.095100	0.000000	25.514612
5.600000	-5.095000	0.000000	25.514612
5.610000	-5.095000	0.000000	25.996019
5.620000	-5.094900	0.000000	25.996019
5.630000	-5.094900	0.000000	25.514612
5.640000	-5.094800	0.000000	25.514612
5.650000	-5.094700	0.000000	25.514612
5.660000	-5.094700	0.000000	25.514612
5.670000	-5.094600	0.000000	25.514612
5.680000	-5.094500	0.000000	25.514612
5.690000	-5.094500	0.000000	25.514612
5.700000	-5.094400	0.000000	25.514612
5.710000	-5.094300	0.000000	25.514612
5.720000	-5.094300	0.000000	25.996019
5.730000	-5.094200	0.000000	25.996019
5.740000	-5.094200	0.000000	25.514612
5.750000	-5.094100	0.000000	25.996019
5.760000	-5.094000	0.000000	25.514612
5.770000	-5.094000	0.000000	25.514612
5.780000	-5.093900	0.000000	25.514612
5.790000	-5.093800	0.000000	25.514612
5.800000	-5.093800	0.000000	25.514612
5.810000	-5.093700	0.000000	25.996019
5.820000	-5.093700	0.000000	25.996019
5.830000	-5.093600	0.000000	25.996019
5.840000	-5.093500	0.000000	25.996019
5.850000	-5.093500	0.000000	25.996019
5.860000	-5.093400	0.000000	25.514612
5.870000	-5.093400	0.000000	25.514612
5.880000	-5.093300	0.000000	25.996019
5.890000	-5.093200	0.000000	25.996019
5.900000	-5.093200	0.000000	25.996019
5.910000	-5.093100	0.000000	25.996019
5.920000	-5.093100	0.000000	25.996019
5.930000	-5.093000	0.000000	25.996019
5.940000	-5.092900	0.000000	25.996019
5.950000	-5.092900	0.000000	25.996019
5.960000	-5.092800	0.000000	25.996019
5.970000	-5.092700	0.000000	25.996019
5.980000	-5.092700	0.000000	25.514612
5.990000	-5.092600	0.000000	25.514612
6.000000	-5.092500	0.000000	25.996019
6.010000	-5.092500	0.000000	25.996019
6.020000	-5.092400	0.000000	25.996019
6.030000	-5.092300	0.000000	25.996019
6.040000	-5.092200	0.000000	25.996019
6.050000	-5.092200	0.000000	26.477427
6.060000	-5.092100	0.000000	25.996019
6.070000	-5.092100	0.000000	25.996019
6.080000	-5.092000	0.000000	25.996019
6.090000	-5.092000	0.000000	25.996019
6.100000	-5.091900	0.000000	26.477427
6.110000	-5.091900	0.000000	26.477427
6.120000	-5.091800	0.000000	26.477427
6.130000	-5.091700	0.000000	26.477427
6.140000	-5.091700	0.000000	26.477427
6.150000	-5.091600	0.000000	26.477427
6.160000	-5.091500	0.000000	25.996019
6.170000	-5.091500	0.000000	25.996019
6.180000	-5.091400	0.000000	25.996019
6.190000	-5.091300	0.000000	26.477427
6.200000	-5.091200	0.000000	26.477427
6.210000	-5.091200	0.000000	26.477427
6.220000	-5.091100	0.000000	26.477427
6.230000	-5.091100	0.000000	26.477427
6.240000	-5.091000	0.000000	26.477427
6.250000	-5.090900	0.000000	26.477427
6.260000	-5.090900	0.000000	26.477427
6.270000	-5.090800	0.000000	26.477427
6.280000	-5.090800	0.000000	26.477427
